[out#0/mpegts @ 0x3fc73000] video:9979KiB audio:1599KiB subtitle:0KiB other streams:0KiB global headers:0KiB muxing overhead: 4.763941%
frame= 1024 fps= 30 q=31.0 Lsize=   12129KiB time=00:00:34.06 bitrate=2916.8kbits/s speed=0.999x
2024-12-10 05:08:22 RTT: 122.559ms RTTVar: 18.004ms CWND: 53 SSTHRESH: 56587
2024-12-10 05:08:22 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:08:22 RTT: 123.878ms RTTVar: 17.734ms CWND: 53 SSTHRESH: 56587
2024-12-10 05:08:22 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:08:22 RTT: 124.706ms RTTVar: 20.826ms CWND: 53 SSTHRESH: 56587
2024-12-10 05:08:22 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:08:22 RTT: 121.222ms RTTVar: 16.824ms CWND: 53 SSTHRESH: 56587
2024-12-10 05:08:23 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:08:23 RTT: 116.479ms RTTVar: 16.956ms CWND: 53 SSTHRESH: 56587
2024-12-10 05:08:23 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:08:23 RTT: 118.616ms RTTVar: 17.975ms CWND: 53 SSTHRESH: 56587
2024-12-10 05:08:23 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:08:23 RTT: 117.286ms RTTVar: 15.703ms CWND: 53 SSTHRESH: 56587
2024-12-10 05:08:23 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:08:23 RTT: 113.705ms RTTVar: 16.352ms CWND: 53 SSTHRESH: 56587
2024-12-10 05:08:23 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:08:23 RTT: 116.957ms RTTVar: 18.767ms CWND: 53 SSTHRESH: 56587
2024-12-10 05:08:23 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:08:23 RTT: 116.01ms RTTVar: 16.588ms CWND: 53 SSTHRESH: 56587
2024-12-10 05:08:23 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:08:23 RTT: 115.616ms RTTVar: 17.918ms CWND: 53 SSTHRESH: 56587
2024-12-10 05:08:23 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:08:23 RTT: 114.266ms RTTVar: 13.859ms CWND: 53 SSTHRESH: 56587
2024-12-10 05:08:24 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:08:24 RTT: 116.391ms RTTVar: 17.575ms CWND: 53 SSTHRESH: 56587
