[out#0/mpegts @ 0x9aa5000] video:9979KiB audio:1599KiB subtitle:0KiB other streams:0KiB global headers:0KiB muxing overhead: 4.763941%
frame= 1024 fps= 30 q=31.0 Lsize=   12129KiB time=00:00:34.06 bitrate=2916.8kbits/s speed=0.998x 
2024-12-10 04:58:47 RTT: 113.916ms RTTVar: 11.384ms CWND: 73 SSTHRESH: 56587
2024-12-10 04:58:47 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 04:58:47 RTT: 117.448ms RTTVar: 14.711ms CWND: 73 SSTHRESH: 56587
2024-12-10 04:58:47 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 04:58:47 RTT: 115.767ms RTTVar: 12.282ms CWND: 73 SSTHRESH: 56587
2024-12-10 04:58:48 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 04:58:48 RTT: 117.329ms RTTVar: 13.08ms CWND: 73 SSTHRESH: 56587
2024-12-10 04:58:48 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 04:58:48 RTT: 115.157ms RTTVar: 9.477ms CWND: 73 SSTHRESH: 56587
2024-12-10 04:58:48 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 04:58:48 RTT: 116.837ms RTTVar: 14.844ms CWND: 73 SSTHRESH: 56587
2024-12-10 04:58:48 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 04:58:48 RTT: 120.826ms RTTVar: 24.634ms CWND: 73 SSTHRESH: 56587
2024-12-10 04:58:48 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 04:58:48 RTT: 116.065ms RTTVar: 22.122ms CWND: 73 SSTHRESH: 56587
2024-12-10 04:58:48 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 04:58:48 RTT: 122.487ms RTTVar: 23.434ms CWND: 73 SSTHRESH: 56587
2024-12-10 04:58:48 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 04:58:48 RTT: 121.343ms RTTVar: 19.864ms CWND: 73 SSTHRESH: 56587
2024-12-10 04:58:48 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 04:58:48 RTT: 123.595ms RTTVar: 15.814ms CWND: 73 SSTHRESH: 56587
2024-12-10 04:58:48 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 04:58:48 RTT: 122.766ms RTTVar: 16.663ms CWND: 73 SSTHRESH: 56587
2024-12-10 04:58:49 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 04:58:49 RTT: 119.608ms RTTVar: 13.692ms CWND: 73 SSTHRESH: 56587
2024-12-10 04:58:49 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 04:58:49 RTT: 116.583ms RTTVar: 14.199ms CWND: 73 SSTHRESH: 56587
2024-12-10 04:58:49 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 04:58:49 RTT: 115.527ms RTTVar: 12.76ms CWND: 73 SSTHRESH: 56587
2024-12-10 04:58:49 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 04:58:49 RTT: 117.774ms RTTVar: 14.148ms CWND: 73 SSTHRESH: 56587
2024-12-10 04:58:49 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 04:58:49 RTT: 117.131ms RTTVar: 18.44ms CWND: 73 SSTHRESH: 56587
2024-12-10 04:58:49 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 04:58:49 RTT: 117.839ms RTTVar: 12.584ms CWND: 73 SSTHRESH: 56587
2024-12-10 04:58:49 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 04:58:49 RTT: 118.346ms RTTVar: 15.663ms CWND: 73 SSTHRESH: 56587
2024-12-10 04:58:49 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 04:58:49 RTT: 117.318ms RTTVar: 14.726ms CWND: 73 SSTHRESH: 56587
2024-12-10 04:58:50 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 04:58:50 RTT: 118.348ms RTTVar: 17.129ms CWND: 73 SSTHRESH: 56587
2024-12-10 04:58:50 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 04:58:50 RTT: 116.505ms RTTVar: 13.856ms CWND: 73 SSTHRESH: 56587
2024-12-10 04:58:50 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 04:58:50 RTT: 119.672ms RTTVar: 18.393ms CWND: 73 SSTHRESH: 56587
2024-12-10 04:58:50 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 04:58:50 RTT: 118.26ms RTTVar: 16.074ms CWND: 73 SSTHRESH: 56587
2024-12-10 04:58:50 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 04:58:50 RTT: 119.794ms RTTVar: 14.895ms CWND: 73 SSTHRESH: 56587
2024-12-10 04:58:50 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 04:58:50 RTT: 120.171ms RTTVar: 17.759ms CWND: 73 SSTHRESH: 56587
2024-12-10 04:58:50 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 04:58:50 RTT: 120.333ms RTTVar: 19.472ms CWND: 73 SSTHRESH: 56587
2024-12-10 04:58:50 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 04:58:50 RTT: 119.351ms RTTVar: 18.128ms CWND: 73 SSTHRESH: 56587
2024-12-10 04:58:50 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 04:58:50 RTT: 122.288ms RTTVar: 16.084ms CWND: 73 SSTHRESH: 56587
2024-12-10 04:58:51 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 04:58:51 RTT: 117.641ms RTTVar: 13.09ms CWND: 73 SSTHRESH: 56587
2024-12-10 04:58:51 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 04:58:51 RTT: 113.9ms RTTVar: 10.928ms CWND: 73 SSTHRESH: 56587
2024-12-10 04:58:51 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 04:58:51 RTT: 112.817ms RTTVar: 9.841ms CWND: 73 SSTHRESH: 56587
2024-12-10 04:58:51 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 04:58:51 RTT: 115.833ms RTTVar: 16.375ms CWND: 73 SSTHRESH: 56587
2024-12-10 04:58:51 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 04:58:51 RTT: 118.248ms RTTVar: 21.552ms CWND: 73 SSTHRESH: 56587
2024-12-10 04:58:51 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 04:58:51 RTT: 115.63ms RTTVar: 16.253ms CWND: 73 SSTHRESH: 56587
2024-12-10 04:58:51 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 04:58:51 RTT: 120.799ms RTTVar: 22.268ms CWND: 73 SSTHRESH: 56587
2024-12-10 04:58:51 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 04:58:51 RTT: 116.202ms RTTVar: 16.733ms CWND: 73 SSTHRESH: 56587
2024-12-10 04:58:52 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 04:58:52 RTT: 119.762ms RTTVar: 16.374ms CWND: 73 SSTHRESH: 56587
2024-12-10 04:58:52 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 04:58:52 RTT: 119.742ms RTTVar: 13.874ms CWND: 73 SSTHRESH: 56587
2024-12-10 04:58:52 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 04:58:52 RTT: 120.875ms RTTVar: 12.672ms CWND: 73 SSTHRESH: 56587
2024-12-10 04:58:52 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 04:58:52 RTT: 120.854ms RTTVar: 15.414ms CWND: 73 SSTHRESH: 56587
2024-12-10 04:58:52 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 04:58:52 RTT: 122.731ms RTTVar: 16.898ms CWND: 73 SSTHRESH: 56587
2024-12-10 04:58:52 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 04:58:52 RTT: 120.162ms RTTVar: 13.324ms CWND: 73 SSTHRESH: 56587
