[out#0/mpegts @ 0x1e221000] video:9979KiB audio:1599KiB subtitle:0KiB other streams:0KiB global headers:0KiB muxing overhead: 4.763941%
frame= 1024 fps= 30 q=31.0 Lsize=   12129KiB time=00:00:34.06 bitrate=2916.8kbits/s speed=0.998x 
2024-12-10 05:06:12 RTT: 118.036ms RTTVar: 19.264ms CWND: 96 SSTHRESH: 56587
2024-12-10 05:06:12 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:06:12 RTT: 116.514ms RTTVar: 16.087ms CWND: 96 SSTHRESH: 56587
2024-12-10 05:06:12 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:06:12 RTT: 114.119ms RTTVar: 17.375ms CWND: 96 SSTHRESH: 56587
2024-12-10 05:06:13 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:06:13 RTT: 112.248ms RTTVar: 14.997ms CWND: 96 SSTHRESH: 56587
2024-12-10 05:06:13 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:06:13 RTT: 112.652ms RTTVar: 15.104ms CWND: 96 SSTHRESH: 56587
2024-12-10 05:06:13 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:06:13 RTT: 109.337ms RTTVar: 13.974ms CWND: 96 SSTHRESH: 56587
2024-12-10 05:06:13 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:06:13 RTT: 112.114ms RTTVar: 17.744ms CWND: 96 SSTHRESH: 56587
2024-12-10 05:06:13 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:06:13 RTT: 111.499ms RTTVar: 14.573ms CWND: 96 SSTHRESH: 56587
2024-12-10 05:06:13 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:06:13 RTT: 118.038ms RTTVar: 21.895ms CWND: 96 SSTHRESH: 56587
2024-12-10 05:06:13 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:06:13 RTT: 113.016ms RTTVar: 16.162ms CWND: 96 SSTHRESH: 56587
2024-12-10 05:06:13 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:06:13 RTT: 111.986ms RTTVar: 15.06ms CWND: 96 SSTHRESH: 56587
2024-12-10 05:06:14 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
