[out#0/mpegts @ 0x118a1000] video:9979KiB audio:1599KiB subtitle:0KiB other streams:0KiB global headers:0KiB muxing overhead: 4.763941%
frame= 1024 fps= 30 q=31.0 Lsize=   12129KiB time=00:00:34.06 bitrate=2916.8kbits/s speed=0.998x 
2024-12-10 04:56:21 RTT: 110.832ms RTTVar: 13.325ms CWND: 100 SSTHRESH: 56587
2024-12-10 04:56:21 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 04:56:21 RTT: 114.293ms RTTVar: 16.167ms CWND: 100 SSTHRESH: 56587
2024-12-10 04:56:21 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 04:56:21 RTT: 111.974ms RTTVar: 11.881ms CWND: 100 SSTHRESH: 56587
2024-12-10 04:56:22 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 04:56:22 RTT: 110.169ms RTTVar: 9.944ms CWND: 100 SSTHRESH: 56587
2024-12-10 04:56:22 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 04:56:22 RTT: 117.589ms RTTVar: 21.788ms CWND: 100 SSTHRESH: 56587
2024-12-10 04:56:22 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 04:56:22 RTT: 111.323ms RTTVar: 15.878ms CWND: 100 SSTHRESH: 56587
2024-12-10 04:56:22 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 04:56:22 RTT: 113.605ms RTTVar: 18.843ms CWND: 100 SSTHRESH: 56587
2024-12-10 04:56:22 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 04:56:22 RTT: 115.387ms RTTVar: 20.688ms CWND: 100 SSTHRESH: 56587
2024-12-10 04:56:22 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 04:56:22 RTT: 111.043ms RTTVar: 14.889ms CWND: 100 SSTHRESH: 56587
2024-12-10 04:56:22 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 04:56:22 RTT: 114.181ms RTTVar: 16.185ms CWND: 100 SSTHRESH: 56587
2024-12-10 04:56:22 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 04:56:22 RTT: 113.411ms RTTVar: 14.154ms CWND: 100 SSTHRESH: 56587
2024-12-10 04:56:23 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 04:56:23 RTT: 113.131ms RTTVar: 13.665ms CWND: 100 SSTHRESH: 56587
2024-12-10 04:56:23 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 04:56:23 RTT: 109.86ms RTTVar: 13.932ms CWND: 100 SSTHRESH: 56587
2024-12-10 04:56:23 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 04:56:23 RTT: 113.198ms RTTVar: 17.838ms CWND: 100 SSTHRESH: 56587
2024-12-10 04:56:23 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 04:56:23 RTT: 117.38ms RTTVar: 21.453ms CWND: 100 SSTHRESH: 56587
2024-12-10 04:56:23 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 04:56:23 RTT: 112.827ms RTTVar: 19.372ms CWND: 100 SSTHRESH: 56587
2024-12-10 04:56:23 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 04:56:23 RTT: 113.602ms RTTVar: 18.177ms CWND: 100 SSTHRESH: 56587
2024-12-10 04:56:23 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 04:56:23 RTT: 113.202ms RTTVar: 15.718ms CWND: 100 SSTHRESH: 56587
