[out#0/mpegts @ 0x8f82000] video:9979KiB audio:1599KiB subtitle:0KiB other streams:0KiB global headers:0KiB muxing overhead: 4.763941%
frame= 1024 fps= 30 q=31.0 Lsize=   12129KiB time=00:00:34.06 bitrate=2916.8kbits/s speed=0.998x 
2024-12-10 05:00:36 RTT: 112.819ms RTTVar: 14.112ms CWND: 71 SSTHRESH: 56587
2024-12-10 05:00:36 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:00:36 RTT: 113.032ms RTTVar: 14.443ms CWND: 71 SSTHRESH: 56587
2024-12-10 05:00:36 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:00:36 RTT: 120.822ms RTTVar: 21.831ms CWND: 71 SSTHRESH: 56587
2024-12-10 05:00:37 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:00:37 RTT: 119.939ms RTTVar: 17.79ms CWND: 71 SSTHRESH: 56587
2024-12-10 05:00:37 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:00:37 RTT: 116.938ms RTTVar: 20.062ms CWND: 71 SSTHRESH: 56587
2024-12-10 05:00:37 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:00:37 RTT: 120.069ms RTTVar: 25.664ms CWND: 71 SSTHRESH: 56587
2024-12-10 05:00:37 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:00:37 RTT: 117.817ms RTTVar: 19.294ms CWND: 71 SSTHRESH: 56587
2024-12-10 05:00:37 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:00:37 RTT: 119.082ms RTTVar: 20.766ms CWND: 71 SSTHRESH: 56587
2024-12-10 05:00:37 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:00:37 RTT: 115.566ms RTTVar: 17.142ms CWND: 71 SSTHRESH: 56587
2024-12-10 05:00:37 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:00:37 RTT: 115.395ms RTTVar: 16.695ms CWND: 71 SSTHRESH: 56587
2024-12-10 05:00:37 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:00:37 RTT: 115.966ms RTTVar: 20.66ms CWND: 71 SSTHRESH: 56587
2024-12-10 05:00:38 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:00:38 RTT: 114.925ms RTTVar: 17.379ms CWND: 71 SSTHRESH: 56587
2024-12-10 05:00:38 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:00:38 RTT: 116.727ms RTTVar: 20.482ms CWND: 71 SSTHRESH: 56587
2024-12-10 05:00:38 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:00:38 RTT: 117.502ms RTTVar: 21.061ms CWND: 71 SSTHRESH: 56587
2024-12-10 05:00:38 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:00:38 RTT: 115.032ms RTTVar: 14.269ms CWND: 71 SSTHRESH: 56587
2024-12-10 05:00:38 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:00:38 RTT: 115.045ms RTTVar: 16.952ms CWND: 71 SSTHRESH: 56587
2024-12-10 05:00:38 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 05:00:38 RTT: 116.659ms RTTVar: 19.793ms CWND: 71 SSTHRESH: 56587
