[  6]   0.00-4.41   sec   100 MBytes   190 Mbits/sec    0             sender
[  6]   0.00-4.51   sec   100 MBytes   186 Mbits/sec                  receiver

iperf Done.

2024-12-10 03:56:03 RTT: 177.619ms RTTVar: 97.276ms CWND: 13 SSTHRESH: 56587
2024-12-10 03:56:03 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 03:56:03 RTT: 100.505ms RTTVar: 0.213ms CWND: 732 SSTHRESH: 346
2024-12-10 03:56:03 RTT: 177.619ms RTTVar: 97.276ms CWND: 13 SSTHRESH: 56587
2024-12-10 03:56:03 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 03:56:03 RTT: 100.401ms RTTVar: 0.137ms CWND: 732 SSTHRESH: 346
2024-12-10 03:56:03 RTT: 177.619ms RTTVar: 97.276ms CWND: 13 SSTHRESH: 56587
2024-12-10 03:56:03 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 03:56:03 RTT: 100.5ms RTTVar: 0.363ms CWND: 732 SSTHRESH: 346
2024-12-10 03:56:03 RTT: 177.619ms RTTVar: 97.276ms CWND: 13 SSTHRESH: 56587
2024-12-10 03:56:03 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 03:56:04 RTT: 100.564ms RTTVar: 0.346ms CWND: 758 SSTHRESH: 346
2024-12-10 03:56:04 RTT: 177.619ms RTTVar: 97.276ms CWND: 13 SSTHRESH: 56587
2024-12-10 03:56:04 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 03:56:04 RTT: 100.32ms RTTVar: 0.12ms CWND: 779 SSTHRESH: 346
2024-12-10 03:56:04 RTT: 177.619ms RTTVar: 97.276ms CWND: 13 SSTHRESH: 56587
2024-12-10 03:56:04 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 03:56:04 RTT: 100.447ms RTTVar: 0.246ms CWND: 788 SSTHRESH: 346
2024-12-10 03:56:04 RTT: 177.619ms RTTVar: 97.276ms CWND: 13 SSTHRESH: 56587
2024-12-10 03:56:04 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 03:56:04 RTT: 100.528ms RTTVar: 0.139ms CWND: 788 SSTHRESH: 346
2024-12-10 03:56:04 RTT: 177.619ms RTTVar: 97.276ms CWND: 13 SSTHRESH: 56587
2024-12-10 03:56:04 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 03:56:04 RTT: 100.435ms RTTVar: 0.187ms CWND: 788 SSTHRESH: 346
2024-12-10 03:56:04 RTT: 177.619ms RTTVar: 97.276ms CWND: 13 SSTHRESH: 56587
2024-12-10 03:56:04 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 03:56:04 RTT: 100.513ms RTTVar: 0.173ms CWND: 776 SSTHRESH: 346
2024-12-10 03:56:04 RTT: 177.619ms RTTVar: 97.276ms CWND: 13 SSTHRESH: 56587
2024-12-10 03:56:04 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 03:56:04 RTT: 100.388ms RTTVar: 0.193ms CWND: 776 SSTHRESH: 346
2024-12-10 03:56:04 RTT: 177.619ms RTTVar: 97.276ms CWND: 13 SSTHRESH: 56587
2024-12-10 03:56:04 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 03:56:04 RTT: 100.6ms RTTVar: 0.184ms CWND: 776 SSTHRESH: 346
2024-12-10 03:56:04 RTT: 177.619ms RTTVar: 97.276ms CWND: 13 SSTHRESH: 56587
2024-12-10 03:56:04 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 03:56:04 RTT: 100.317ms RTTVar: 0.125ms CWND: 776 SSTHRESH: 346
2024-12-10 03:56:04 RTT: 177.619ms RTTVar: 97.276ms CWND: 13 SSTHRESH: 56587
2024-12-10 03:56:04 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 03:56:05 RTT: 100.543ms RTTVar: 0.19ms CWND: 776 SSTHRESH: 346
2024-12-10 03:56:05 RTT: 167.989ms RTTVar: 92.217ms CWND: 14 SSTHRESH: 56587
2024-12-10 03:56:05 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
