[  6]   0.00-4.50   sec   100 MBytes   186 Mbits/sec    0             sender
[  6]   0.00-4.60   sec   100 MBytes   182 Mbits/sec                  receiver

iperf Done.

2024-12-10 03:54:24 RTT: 177.747ms RTTVar: 97.293ms CWND: 13 SSTHRESH: 56587
2024-12-10 03:54:24 RTT: 100.528ms RTTVar: 0.216ms CWND: 708 SSTHRESH: 340
2024-12-10 03:54:24 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 03:54:24 RTT: 177.747ms RTTVar: 97.293ms CWND: 13 SSTHRESH: 56587
2024-12-10 03:54:24 RTT: 100.413ms RTTVar: 0.127ms CWND: 708 SSTHRESH: 340
2024-12-10 03:54:24 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 03:54:24 RTT: 177.747ms RTTVar: 97.293ms CWND: 13 SSTHRESH: 56587
2024-12-10 03:54:24 RTT: 100.531ms RTTVar: 0.216ms CWND: 708 SSTHRESH: 340
2024-12-10 03:54:24 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 03:54:24 RTT: 177.747ms RTTVar: 97.293ms CWND: 13 SSTHRESH: 56587
2024-12-10 03:54:25 RTT: 100.489ms RTTVar: 0.171ms CWND: 708 SSTHRESH: 340
2024-12-10 03:54:25 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 03:54:25 RTT: 177.747ms RTTVar: 97.293ms CWND: 13 SSTHRESH: 56587
2024-12-10 03:54:25 RTT: 100.391ms RTTVar: 0.115ms CWND: 656 SSTHRESH: 340
2024-12-10 03:54:25 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 03:54:25 RTT: 177.747ms RTTVar: 97.293ms CWND: 13 SSTHRESH: 56587
2024-12-10 03:54:25 RTT: 100.506ms RTTVar: 0.175ms CWND: 686 SSTHRESH: 340
2024-12-10 03:54:25 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 03:54:25 RTT: 177.747ms RTTVar: 97.293ms CWND: 13 SSTHRESH: 56587
2024-12-10 03:54:25 RTT: 100.491ms RTTVar: 0.293ms CWND: 686 SSTHRESH: 340
2024-12-10 03:54:25 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 03:54:25 RTT: 177.747ms RTTVar: 97.293ms CWND: 13 SSTHRESH: 56587
2024-12-10 03:54:25 RTT: 100.502ms RTTVar: 0.167ms CWND: 694 SSTHRESH: 340
2024-12-10 03:54:25 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 03:54:25 RTT: 168.184ms RTTVar: 92.097ms CWND: 14 SSTHRESH: 56587
