[  6]   0.00-6.70   sec   100 MBytes   125 Mbits/sec    0             sender
[  6]   0.00-6.80   sec   100 MBytes   123 Mbits/sec                  receiver

iperf Done.

2024-12-10 03:58:37 RTT: 177.419ms RTTVar: 97.053ms CWND: 10 SSTHRESH: 56587
2024-12-10 03:58:37 RTT: 104.083ms RTTVar: 0.801ms CWND: 326 SSTHRESH: 77
2024-12-10 03:58:37 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 03:58:37 RTT: 177.419ms RTTVar: 97.053ms CWND: 10 SSTHRESH: 56587
2024-12-10 03:58:37 RTT: 119.092ms RTTVar: 0.259ms CWND: 335 SSTHRESH: 77
2024-12-10 03:58:37 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 03:58:37 RTT: 177.419ms RTTVar: 97.053ms CWND: 10 SSTHRESH: 56587
2024-12-10 03:58:37 RTT: 119.881ms RTTVar: 0.008ms CWND: 352 SSTHRESH: 77
2024-12-10 03:58:37 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 03:58:37 RTT: 177.419ms RTTVar: 97.053ms CWND: 10 SSTHRESH: 56587
2024-12-10 03:58:37 RTT: 122.802ms RTTVar: 4.853ms CWND: 364 SSTHRESH: 77
2024-12-10 03:58:37 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 03:58:37 RTT: 177.419ms RTTVar: 97.053ms CWND: 10 SSTHRESH: 56587
2024-12-10 03:58:37 RTT: 129.855ms RTTVar: 10.188ms CWND: 374 SSTHRESH: 77
2024-12-10 03:58:37 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 03:58:38 RTT: 177.419ms RTTVar: 97.053ms CWND: 10 SSTHRESH: 56587
2024-12-10 03:58:38 RTT: 104.709ms RTTVar: 2.475ms CWND: 374 SSTHRESH: 77
2024-12-10 03:58:38 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 03:58:38 RTT: 177.419ms RTTVar: 97.053ms CWND: 10 SSTHRESH: 56587
2024-12-10 03:58:38 RTT: 119.34ms RTTVar: 5.375ms CWND: 374 SSTHRESH: 77
2024-12-10 03:58:38 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 03:58:38 RTT: 177.419ms RTTVar: 97.053ms CWND: 10 SSTHRESH: 56587
2024-12-10 03:58:38 RTT: 122.399ms RTTVar: 5.378ms CWND: 374 SSTHRESH: 77
2024-12-10 03:58:38 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 03:58:38 RTT: 177.419ms RTTVar: 97.053ms CWND: 10 SSTHRESH: 56587
2024-12-10 03:58:38 RTT: 130.106ms RTTVar: 7.872ms CWND: 374 SSTHRESH: 77
2024-12-10 03:58:38 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 03:58:38 RTT: 177.419ms RTTVar: 97.053ms CWND: 10 SSTHRESH: 56587
2024-12-10 03:58:38 RTT: 119.456ms RTTVar: 0.509ms CWND: 374 SSTHRESH: 77
2024-12-10 03:58:38 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 03:58:38 RTT: 177.419ms RTTVar: 97.053ms CWND: 10 SSTHRESH: 56587
2024-12-10 03:58:38 RTT: 119.842ms RTTVar: 0.159ms CWND: 374 SSTHRESH: 77
2024-12-10 03:58:38 RTT: 121.261ms RTTVar: 2.51ms CWND: 44 SSTHRESH: 44
2024-12-10 03:58:38 RTT: 177.419ms RTTVar: 97.053ms CWND: 10 SSTHRESH: 56587
2024-12-10 03:58:38 RTT: 106.412ms RTTVar: 1.573ms CWND: 374 SSTHRESH: 77
